ticker,effective_date,era,era_lo,win_start,win_end,n_days_wide,car_eff,car_wide
AMD,2017-03-20,2015–2019,2015,2017-03-09,2017-03-21,9,0.031150459007309395,0.056723716611729036
RJF,2017-03-20,2015–2019,2015,2017-03-09,2017-03-21,9,-0.03580968909106341,-0.053441944213769355
ARE,2017-03-20,2015–2019,2015,2017-03-09,2017-03-21,9,0.02325060087162001,-0.03514096565168667
SNPS,2017-03-16,2015–2019,2015,2017-03-07,2017-03-17,9,0.0004918406738012582,0.004242134019321164
REG,2017-03-02,2015–2019,2015,2017-02-21,2017-03-03,9,-0.04548308236301557,-0.035176169450721106
CBOE,2017-03-01,2015–2019,2015,2017-02-17,2017-03-02,9,-0.010485788510350313,-0.03860253428556948
INCY,2017-02-28,2015–2019,2015,2017-02-16,2017-03-01,9,0.002591276810594678,0.07929006097573343
IDXX,2017-01-05,2015–2019,2015,2016-12-23,2017-01-06,9,-0.0019802757456189868,-0.013828523050563146
MAA,2016-12-02,2015–2019,2015,2016-11-22,2016-12-05,9,-0.032940676830890636,-0.0041935153028955785
EVHC,2016-12-02,2015–2019,2015,2016-11-22,2016-12-05,9,0.04993564022057373,0.05668362048116693
COTY,2016-09-30,2015–2019,2015,2016-09-21,2016-10-03,9,0.003376897126069811,-0.02269935364595632
COO,2016-09-22,2015–2019,2015,2016-09-13,2016-09-23,9,-0.041457779592693256,-0.03446394328714153
CHTR,2016-09-08,2015–2019,2015,2016-08-29,2016-09-09,9,-0.012132898082789612,0.07149444007256633
MTD,2016-09-06,2015–2019,2015,2016-08-25,2016-09-07,9,-0.0022373264892047162,0.004398869400315197
LNT,2016-07-01,2015–2019,2015,2016-06-22,2016-07-05,9,0.01769724942938511,0.04483270204619283
ALB,2016-07-01,2015–2019,2015,2016-06-22,2016-07-05,9,0.0017301338825941315,-0.04207960233977548
TDG,2016-06-03,2015–2019,2015,2016-05-24,2016-06-06,9,-0.008096932573221416,0.035629532532167385
AJG,2016-05-31,2015–2019,2015,2016-05-19,2016-06-01,9,0.0011665588862381782,-0.011070719221526026
LKQ,2016-05-23,2015–2019,2015,2016-05-12,2016-05-24,9,0.0073735076294549895,-0.015553695902276288
DLR,2016-05-18,2015–2019,2015,2016-05-09,2016-05-19,9,-0.035406178246110476,0.01380597545583473
ALK,2016-05-13,2015–2019,2015,2016-05-04,2016-05-16,9,-0.0201938526804758,-0.062140003343203576
AYI,2016-05-03,2015–2019,2015,2016-04-22,2016-05-04,9,-0.0006192534367535085,-0.03405827009792728
GPN,2016-04-25,2015–2019,2015,2016-04-14,2016-04-26,9,-0.01432303288410608,-0.037368023092955616
ULTA,2016-04-18,2015–2019,2015,2016-04-07,2016-04-19,9,-0.01680788281443213,0.03110010227412463
UA,2016-04-08,2015–2019,2015,2016-03-30,2016-04-11,9,0.006910423274779531,0.023672336118804926
HOLX,2016-03-30,2015–2019,2015,2016-03-18,2016-03-31,9,-0.013235618722413856,0.007525523087680952
CNC,2016-03-30,2015–2019,2015,2016-03-18,2016-03-31,9,-0.024330362989464893,0.0849882032870849
UDR,2016-03-07,2015–2019,2015,2016-02-25,2016-03-08,9,-0.023352310118630926,0.024880043741465907
AWK,2016-03-04,2015–2019,2015,2016-02-24,2016-03-07,9,-0.028729542936543062,-0.02964633432617869
