ticker,ritter_ticker,name,first_trade,yf_first_trade,year,offer_price,adr,ritter_shares,edgar_shares,yf_shares,est_edgar,est_yf,est_ritter,mcap_listing_b,mcap_src,mcap_conf,match_method,bucket,reason
LAW,LAW,CS Disco Inc,2021-07-21,2021-07-21,2021,32.0,1.0,,57431412.0,56378900.0,1.837805184,1.8041248,,1.820964992,auto:edgar+yf,high,ticker+date,drop,~$1.8B at listing (well below $5B)
PD,PD,Pagerduty Inc,2019-04-11,2019-04-11,2019,24.0,1.0,,76086024.0,73611000.0,1.826064576,1.766664,,1.796364288,auto:edgar+yf,high,ticker+date,drop,~$1.8B at listing (well below $5B)
ETSY,ETSY,Etsy Inc,2015-04-16,2015-04-16,2015,16.0,1.0,,111784588.0,112102000.0,1.788553408,1.793632,,1.791092704,auto:edgar+yf,high,ticker+date,drop,~$1.8B at listing (well below $5B)
ZIM,ZIM,Zim Integrated Shipping Svcs,2021-01-28,2021-01-28,2021,15.0,1.0,,,117500000.0,,1.7625,,1.7625,single:yf,low,ticker+date,drop,~$1.8B at listing (well below $5B)
CNTA,CNTA,Centessa Pharmaceuticals plc,2021-05-28,2021-05-28,2021,20.0,2.0,,89899419.0,85924400.0,,1.718488,,1.718488,single:yf,low,ticker+date,drop,~$1.7B at listing (well below $5B)
RLAY,RLAY,Relay Therapeutics Inc,2020-07-16,2020-07-16,2020,20.0,1.0,,89974876.0,81575696.0,1.79949752,1.63151392,,1.71550572,auto:edgar+yf,high,ticker+date,drop,~$1.7B at listing (well below $5B)
COTV,COTV,Cotiviti Holdings Inc,2016-05-26,2016-05-26,2016,19.0,1.0,,,90170500.0,,1.7132395,,1.7132395,single:yf,low,ticker+date,drop,~$1.7B at listing (well below $5B)
VNET,VNET,21Vianet Group Inc,2011-04-21,2011-04-21,2011,15.0,2.0,322515330.0,,113300000.0,,1.6995,,1.6995,single:yf,low,ticker+date,drop,~$1.7B at listing (well below $5B)
REAL,REAL,The Realreal Inc,2019-06-28,2019-06-28,2019,20.0,1.0,,85316361.0,82700704.0,1.70632722,1.65401408,,1.68017065,auto:edgar+yf,high,ticker+date,drop,~$1.7B at listing (well below $5B)
DNLI,DNLI,Denali Therapeutics Inc,2017-12-08,2017-12-08,2017,18.0,1.0,,94441892.0,87979504.0,1.699954056,1.583631072,,1.641792564,auto:edgar+yf,high,ticker+date,drop,~$1.6B at listing (well below $5B)
QFIN,QFIN,360 Fin Inc,2018-12-14,2018-12-14,2018,16.5,2.0,287652707.0,287652707.0,99173600.0,,1.6363644,,1.6363644,single:yf,low,ticker+date,drop,~$1.6B at listing (well below $5B)
SMWB,SMWB,Similarweb Ltd,2021-05-12,2021-05-12,2021,22.0,1.0,,,74288200.0,,1.6343404,,1.6343404,single:yf,low,ticker+date,drop,~$1.6B at listing (well below $5B)
FIHL,FIHL,Fidelis Insurance Holdings Ltd,2023-06-29,2023-06-29,2023,14.0,1.0,,,116486000.0,,1.630804,,1.630804,single:yf,low,ticker+date,drop,~$1.6B at listing (well below $5B)
PRME,PRME,Prime Medicine Inc,2022-10-19,2022-10-20,2022,17.0,1.0,,97208342.0,94336000.0,1.652541814,1.603712,,1.628126907,auto:edgar+yf,high,ticker+date,drop,~$1.6B at listing (well below $5B)
ATMU,ATMU,Atmus Filtration Technologies,2023-05-26,2023-05-26,2023,19.5,1.0,,83297796.0,83297800.0,1.624307022,1.6243071,,1.624307061,auto:edgar+yf,high,ticker+date,drop,~$1.6B at listing (well below $5B)
LMND,LMND,Lemonade Inc,2020-07-02,2020-07-02,2020,29.0,1.0,,56576808.0,54896200.0,1.640727432,1.5919898,,1.6163586159999999,auto:edgar+yf,high,ticker+date,drop,~$1.6B at listing (well below $5B)
EYE,EYE,Natl Vision Hldg Inc,2017-10-26,2017-10-27,2017,22.0,1.0,,74653832.0,72283800.0,1.642384304,1.5902436,,1.616313952,auto:edgar+yf,high,ticker+date,drop,~$1.6B at listing (well below $5B)
GH,GH,Guardant Health Inc,2018-10-04,2018-10-04,2018,19.0,1.0,,85754101.0,83557296.0,1.629327919,1.587588624,,1.6084582715,auto:edgar+yf,high,ticker+date,drop,~$1.6B at listing (well below $5B)
UPWK,UPWK,Upwork Inc,2018-10-03,2018-10-03,2018,15.0,1.0,,106299106.0,104079000.0,1.59448659,1.561185,,1.577835795,auto:edgar+yf,high,ticker+date,drop,~$1.6B at listing (well below $5B)
